datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
15/01/2025 11:45:01,312,16,95,5,3,Wednesday,15/01/2025,11:45:01
15/01/2025 12:00:01,312,24,92,8,3,Wednesday,15/01/2025,12:00:01
15/01/2025 12:15:01,312,27,91,9,3,Wednesday,15/01/2025,12:15:01
15/01/2025 12:30:01,312,29,91,9,3,Wednesday,15/01/2025,12:30:01
15/01/2025 12:45:01,312,31,90,10,3,Wednesday,15/01/2025,12:45:01
15/01/2025 13:00:01,312,23,93,7,3,Wednesday,15/01/2025,13:00:01
15/01/2025 13:15:01,312,22,93,7,3,Wednesday,15/01/2025,13:15:01
15/01/2025 13:30:01,312,19,94,6,3,Wednesday,15/01/2025,13:30:01
15/01/2025 13:45:02,312,38,88,12,3,Wednesday,15/01/2025,13:45:02
15/01/2025 14:00:01,312,39,88,12,3,Wednesday,15/01/2025,14:00:01
15/01/2025 14:15:01,312,37,88,12,3,Wednesday,15/01/2025,14:15:01
15/01/2025 14:30:01,312,32,90,10,3,Wednesday,15/01/2025,14:30:01
15/01/2025 14:45:01,312,23,93,7,3,Wednesday,15/01/2025,14:45:01
15/01/2025 15:00:01,312,43,86,14,3,Wednesday,15/01/2025,15:00:01
15/01/2025 15:15:01,312,37,88,12,3,Wednesday,15/01/2025,15:15:01
15/01/2025 15:30:02,312,36,88,12,3,Wednesday,15/01/2025,15:30:02
15/01/2025 15:45:01,312,45,86,14,3,Wednesday,15/01/2025,15:45:01
15/01/2025 16:00:01,312,49,84,16,3,Wednesday,15/01/2025,16:00:01
15/01/2025 16:15:02,312,41,87,13,3,Wednesday,15/01/2025,16:15:02
15/01/2025 16:30:01,312,51,84,16,3,Wednesday,15/01/2025,16:30:01
15/01/2025 16:45:01,312,53,83,17,3,Wednesday,15/01/2025,16:45:01
15/01/2025 17:00:01,312,58,81,19,3,Wednesday,15/01/2025,17:00:01
15/01/2025 17:15:01,312,65,79,21,3,Wednesday,15/01/2025,17:15:01
15/01/2025 17:30:01,312,71,77,23,3,Wednesday,15/01/2025,17:30:01
15/01/2025 17:45:01,312,64,79,21,3,Wednesday,15/01/2025,17:45:01
15/01/2025 18:00:01,312,60,81,19,3,Wednesday,15/01/2025,18:00:01
15/01/2025 18:15:02,312,65,79,21,3,Wednesday,15/01/2025,18:15:02
15/01/2025 18:30:01,312,73,77,23,3,Wednesday,15/01/2025,18:30:01
15/01/2025 18:45:01,312,81,74,26,3,Wednesday,15/01/2025,18:45:01
15/01/2025 19:00:01,312,65,79,21,3,Wednesday,15/01/2025,19:00:01
15/01/2025 19:15:01,312,59,81,19,3,Wednesday,15/01/2025,19:15:01
15/01/2025 19:30:01,312,61,80,20,3,Wednesday,15/01/2025,19:30:01
15/01/2025 19:45:01,312,51,84,16,3,Wednesday,15/01/2025,19:45:01
15/01/2025 20:00:01,312,37,88,12,3,Wednesday,15/01/2025,20:00:01
15/01/2025 20:15:01,312,41,87,13,3,Wednesday,15/01/2025,20:15:01
15/01/2025 20:30:01,312,29,91,9,3,Wednesday,15/01/2025,20:30:01
